Base Translatable Strings: 1527
------------------------------------------------------------
Language   | Missing    | Untranslated    | Work Needed     | Progress
------------------------------------------------------------
en-rCA     | 45         | 1354            | 1399            | 8.4%
en-rGB     | 45         | 1340            | 1385            | 9.3%
en-rAU     | 45         | 1331            | 1376            | 9.9%
iw         | 0          | 987             | 987             | 35.4%
nb         | 0          | 924             | 924             | 39.5%
in         | 0          | 907             | 907             | 40.6%
th         | 0          | 863             | 863             | 43.5%
uk         | 0          | 847             | 847             | 44.5%
vi         | 0          | 799             | 799             | 47.7%
is         | 0          | 722             | 722             | 52.7%
da         | 0          | 691             | 691             | 54.7%
fi         | 0          | 670             | 670             | 56.1%
pl         | 0          | 648             | 648             | 57.6%
it         | 0          | 640             | 640             | 58.1%
el         | 0          | 603             | 603             | 60.5%
ja         | 0          | 597             | 597             | 60.9%
ko         | 0          | 582             | 582             | 61.9%
zh         | 0          | 553             | 553             | 63.8%
hu         | 0          | 534             | 534             | 65.0%
pt         | 0          | 513             | 513             | 66.4%
de         | 0          | 498             | 498             | 67.4%
ro         | 0          | 494             | 494             | 67.6%
cs         | 0          | 473             | 473             | 69.0%
sv         | 0          | 446             | 446             | 70.8%
ur         | 0          | 446             | 446             | 70.8%
hi         | 0          | 360             | 360             | 76.4%
nl         | 0          | 345             | 345             | 77.4%
ru         | 0          | 336             | 336             | 78.0%
fr         | 0          | 326             | 326             | 78.7%
tr         | 0          | 310             | 310             | 79.7%
ms         | 0          | 294             | 294             | 80.7%
ar         | 0          | 159             | 159             | 89.6%
es         | 0          | 102             | 102             | 93.3%
