Base Translatable Strings: 1527
------------------------------------------------------------
Language   | Missing    | Untranslated    | Work Needed     | Progress
------------------------------------------------------------
en-rCA     | 0          | 1293            | 1293            | 15.3%
en-rGB     | 0          | 1279            | 1279            | 16.2%
en-rAU     | 0          | 1272            | 1272            | 16.7%
iw         | 0          | 873             | 873             | 42.8%
nb         | 0          | 800             | 800             | 47.6%
in         | 0          | 784             | 784             | 48.7%
th         | 0          | 755             | 755             | 50.6%
vi         | 0          | 699             | 699             | 54.2%
uk         | 0          | 662             | 662             | 56.6%
is         | 0          | 640             | 640             | 58.1%
da         | 0          | 610             | 610             | 60.1%
fi         | 0          | 577             | 577             | 62.2%
pl         | 0          | 549             | 549             | 64.0%
el         | 0          | 529             | 529             | 65.4%
hu         | 0          | 447             | 447             | 70.7%
it         | 0          | 429             | 429             | 71.9%
ro         | 0          | 409             | 409             | 73.2%
cs         | 0          | 401             | 401             | 73.7%
ja         | 0          | 399             | 399             | 73.9%
ur         | 0          | 392             | 392             | 74.3%
ko         | 0          | 387             | 387             | 74.7%
sv         | 0          | 384             | 384             | 74.9%
de         | 0          | 374             | 374             | 75.5%
zh         | 0          | 365             | 365             | 76.1%
pt         | 0          | 338             | 338             | 77.9%
nl         | 0          | 309             | 309             | 79.8%
hi         | 0          | 294             | 294             | 80.7%
fr         | 0          | 269             | 269             | 82.4%
tr         | 0          | 251             | 251             | 83.6%
ru         | 0          | 237             | 237             | 84.5%
ms         | 0          | 224             | 224             | 85.3%
ar         | 0          | 125             | 125             | 91.8%
es         | 0          | 86              | 86              | 94.4%
